Player's Name,Height,Weight,Birthplace City,Birthplace State,College,College City,College State,Plays From,Plays From State,Birth Date,Exempt Status,Combined States,Birthplace City and State,College City and State,Plays From City and State,Headshot Link,,
Adam Hadwin,"5'8""",165,Abbotsford,British Columbia,University of Louisville,Louisville,Kentucky,"Wichita, KS",Kansas,11/2/1987,Top 125 FedExCup 2024,British Columbia-Kentucky-Kansas,"Abbotsford, British Columbia","Louisville, Kentucky","Wichita, Kansas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33399.png",,
Jordan Spieth,"6'1""",175,Dallas,Texas,University of Texas,Austin,Texas,"Dallas, TX",Texas,7/27/1993,Top 125 FedExCup 2024,Texas-Texas-Texas,"Dallas, Texas","Austin, Texas","Dallas, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34046.png",,
Kevin Yu,"5'11""",175,Taipei,Taiwan,Arizona State University,Tempe,Arizona,"Scottsdale, AZ",Arizona,8/24/1998,Top 125 FedExCup 2024,Taiwan-Arizona-Arizona,"Taipei, Taiwan","Tempe, Arizona","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_45242.png",,
Chris Kirk,"6'3""",175,Knoxville,Tennessee,University of Georgia,Athens,Georgia,"Athens, GA",Georgia,5/8/1985,Top 125 FedExCup 2024,Tennessee-Georgia-Georgia,"Knoxville, Tennessee","Athens, Georgia","Athens, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_30926.png",,
Patrick Rodgers,"6'2""",165,Avon,Indiana,Stanford University,Palo Alto,California,"Jupiter, FL",Florida,6/30/1992,Top 50 OWGR 2025,Indiana-California-Florida,"Avon, Indiana","Palo Alto, California","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36699.png",,
Joaquin Niemann,"6'0""",154,Santiago,Chile,None,None,None,"Jupiter, FL",Florida,11/7/1998,Top 50 OWGR 2025,Chile-None-Florida,"Santiago, Chile",N/A,"Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_45486.png",,
Matt Wallace,"6'0""",185,Hillingdon,England,Jacksonville State University,Jacksonville,Alabama,"London, England",England,4/12/1990,Top 125 FedExCup 2024,England-Alabama-England,"Hillingdon, England","Jacksonville, Alabama","London, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48887.png",,
Sam Stevens,"6'1""",190,Wichita,Kansas,Oklahoma State University,Stillwater,Oklahoma,"Fort Worth, TX",Texas,7/5/1996,Top 50 OWGR 2025,Kansas-Oklahoma-Texas,"Wichita, Kansas","Stillwater, Oklahoma","Fort Worth, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_55893.png",,
Andrew Novak,"6'0""",190,Raleigh,North Carolina,Wofford College,Spartanburg,South Carolina,"Jupiter, FL",Florida,3/31/1995,Top 50 OWGR 2025,North Carolina-South Carolina-Florida,"Raleigh, North Carolina","Spartanburg, South Carolina","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51997.png",,
Taylor Moore,"5'9""",160,Edmond,Oklahoma,University of Arkansas,Fayetteville,Arkansas,"San Angelo, TX",Texas,4/28/1997,Top 50 OWGR 2025,Oklahoma-Arkansas-Texas,"Edmond, Oklahoma","Fayetteville, Arkansas","San Angelo, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49947.png",,
Michael Kim,"6'0""",165,San Diego,California,"University of California, Berkeley",Berkeley,California,"Houston, TX",Texas,7/14/1993,Top 50 OWGR 2025,California-California-Texas,"San Diego, California","Berkeley, California","Houston, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39975.png",,
Thorbjørn Olesen,"5'9""",152,Furesø,Denmark,None,None,None,"Dubai, UAE",N/A,12/21/1989,Top 50 OWGR 2025,Denmark-None-N/A,"Furesø, Denmark",N/A,"Dubai, UAE","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33968.png",,
J.J. Spaun,"5'10""",190,Los Angeles,California,San Diego State University,San Diego,California,"Scottsdale, AZ",Arizona,8/21/1990,Top 50 OWGR 2025,California-California-Arizona,"Los Angeles, California","San Diego, California","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39324.png",,
Beau Hossler,"6'1""",195,Mission Viejo,California,University of Texas,Austin,Texas,"Jupiter, FL",Florida,3/16/1995,Top 125 FedExCup 2024,California-Texas-Florida,"Mission Viejo, California","Austin, Texas","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35461.png",,
David Puig,"5'9""",165,La Garriga,Spain,Arizona State University,Tempe,Arizona,"Barcelona, Spain",Spain,12/7/2001,Top 50 OWGR 2025,Spain-Arizona-Spain,"La Garriga, Spain","Tempe, Arizona","Barcelona, Spain","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_61193.png",,
Justin Lower,"5'10""",175,Akron,Ohio,Malone University,Canton,Ohio,"Mt. Pleasant, SC",South Carolina,4/4/1989,Top 50 OWGR 2025,Ohio-Ohio-South Carolina,"Akron, Ohio","Canton, Ohio","Mt. Pleasant, South Carolina","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_40162.png",,
Rasmus Neergaard-Petersen,"6'1""",170,Holte,Denmark,Oklahoma State University,Stillwater,Oklahoma,"Copenhagen, Denmark",Denmark,8/14/2000,Top 50 OWGR 2025,Denmark-Oklahoma-Denmark,"Holte, Denmark","Stillwater, Oklahoma","Copenhagen, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52689.png",,
Lee Hodges,"6'0""",190,Huntsville,Alabama,University of Alabama,Tuscaloosa,Alabama,"Elkmont, AL",Alabama,5/29/1995,Top 125 FedExCup 2024,Alabama-Alabama-Alabama,"Huntsville, Alabama","Tuscaloosa, Alabama","Elkmont, Alabama","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54628.png",,
Erik van Rooyen,"6'3""",190,Bellville,South Africa,University of Minnesota,Minneapolis,Minnesota,"Jupiter, FL",Florida,2/21/1990,Top 50 OWGR 2025,South Africa-Minnesota-Florida,"Bellville, South Africa","Minneapolis, Minnesota","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_40006.png",,
Harry Hall,"6'1""",185,Hayle,England,"University of Nevada, Las Vegas",Las Vegas,Nevada,"Las Vegas, NV",Nevada,8/6/1997,Top 50 OWGR 2025,England-Nevada-Nevada,"Hayle, England","Las Vegas, Nevada","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57975.png",,
Kurt Kitayama,"5'7""",170,Chico,California,"University of Nevada, Las Vegas",Las Vegas,Nevada,"Henderson, NV",Nevada,1/14/1993,Top 50 OWGR 2025,California-Nevada-Nevada,"Chico, California","Las Vegas, Nevada","Henderson, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48117.png",,
Niklas Nørgaard,"6'2""",185,Aarhus,Denmark,None,None,None,"Aarhus, Denmark",Denmark,9/14/1996,Top 50 OWGR 2025,Denmark-None-Denmark,"Aarhus, Denmark",N/A,"Aarhus, Denmark","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35706.png",,
John Parry,"5'11""",165,Harrogate,England,None,None,None,"Harrogate, England",England,11/17/1986,Top 50 OWGR 2025,England-None-England,"Harrogate, England",N/A,"Harrogate, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_28723.png",,
Romain Langasque,"5'10""",160,Saint-Tropez,France,None,None,None,"Saint-Tropez, France",France,5/18/1995,Top 50 OWGR 2025,France-None-France,"Saint-Tropez, France",N/A,"Saint-Tropez, France","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_37250.png",,
Max McGreevy,N/A,N/A,Edmond,Oklahoma,University of Oklahoma,Norman,Oklahoma,"Edmond, OK",Oklahoma,5/3/1995,Korn Ferry Tour 2024,Oklahoma-Oklahoma-Oklahoma,"Edmond, Oklahoma","Norman, Oklahoma","Edmond, Oklahoma","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51950.png",,
Luke Clanton,N/A,N/A,Hialeah,Florida,Florida State University,Tallahassee,Florida,"Hialeah, FL",Florida,5/20/2004,Top 50 OWGR 2025,Florida-Florida-Florida,"Hialeah, Florida","Tallahassee, Florida","Hialeah, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_66743.png",,
Rickie Fowler,"5'9""",150,Murrieta,California,Oklahoma State University,Stillwater,Oklahoma,"Jupiter, FL",Florida,12/13/1988,Top 125 FedExCup 2024,California-Oklahoma-Florida,"Murrieta, California","Stillwater, Oklahoma","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32102.png",,
Victor Perez,"6'3""",190,Tarbes,France,University of New Mexico,Albuquerque,New Mexico,"Dundee, Scotland",Scotland,9/2/1992,Top 50 OWGR 2025,France-New Mexico-Scotland,"Tarbes, France","Albuquerque, New Mexico","Dundee, Scotland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47679.png",,
Brian Campbell,N/A,N/A,Irvine,California,University of Illinois,Urbana-Champaign,Illinois,"Princeton, NJ",New Jersey,3/6/1993,Korn Ferry Tour 2024,California-Illinois-New Jersey,"Irvine, California","Urbana-Champaign, Illinois","Princeton, New Jersey","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46443.png",,
Cameron Smith,"5'11""",172,Brisbane,Australia,None,None,None,"Jupiter, FL",Florida,8/18/1993,Top 50 OWGR 2025,Australia-None-Florida,"Brisbane, Australia",N/A,"Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_35891.png",,
Jake Knapp,"5'11""",180,Costa Mesa,California,UCLA,Los Angeles,California,"Costa Mesa, CA",California,5/31/1994,Top 125 FedExCup 2024,California-California-California,"Costa Mesa, California","Los Angeles, California","Costa Mesa, California","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47420.png",,
Keith Mitchell,"6'1""",185,Chattanooga,Tennessee,University of Georgia,Athens,Georgia,"St. Simons Island, GA",Georgia,1/7/1992,Top 125 FedExCup 2024,Tennessee-Georgia-Georgia,"Chattanooga, Tennessee","Athens, Georgia","St. Simons Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_39546.png",,
Charley Hoffman,"6'0""",200,San Diego,California,"University of Nevada, Las Vegas",Las Vegas,Nevada,"Scottsdale, AZ",Arizona,12/27/1976,Top 50 OWGR 2025,California-Nevada-Arizona,"San Diego, California","Las Vegas, Nevada","Scottsdale, Arizona","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_12716.png",,
Matteo Manassero,"6'0""",174,Negrar,Italy,None,None,None,"Negrar, Italy",Italy,4/19/1993,Top 50 OWGR 2025,Italy-None-Italy,"Negrar, Italy",N/A,"Negrar, Italy","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_33199.png",,
Ryan Fox,"5'11""",215,Auckland,New Zealand,None,None,None,"Auckland, New Zealand",New Zealand,1/22/1987,Top 50 OWGR 2025,New Zealand-None-New Zealand,"Auckland, New Zealand",N/A,"Auckland, New Zealand","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29936.png",,
Jordan Smith,"5'10""",174,Bath,England,None,None,None,"Bath, England",England,11/9/1992,Top 50 OWGR 2025,England-None-England,"Bath, England",N/A,"Bath, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_46464.png",,
Doug Ghim,"5'9""",185,Des Plaines,Illinois,University of Texas,Austin,Texas,"Las Vegas, NV",Nevada,4/16/1996,Top 125 FedExCup 2024,Illinois-Texas-Nevada,"Des Plaines, Illinois","Austin, Texas","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_52375.png",,
Shaun Norris,"5'11""",165,Pretoria,South Africa,None,None,None,"Pretoria, South Africa",South Africa,5/14/1982,Top 50 OWGR 2025,South Africa-None-South Africa,"Pretoria, South Africa",N/A,"Pretoria, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_26328.png",,
Kensei Hirata,"5'10""",165,Tokyo,Japan,None,None,None,"Tokyo, Japan",Japan,5/11/2000,Top 50 OWGR 2025,Japan-None-Japan,"Tokyo, Japan",N/A,"Tokyo, Japan","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_49120.png",,
Jesper Svensson,"6'0""",170,Uppsala,Sweden,None,None,None,"Uppsala, Sweden",Sweden,3/22/1996,Top 50 OWGR 2025,Sweden-None-Sweden,"Uppsala, Sweden",N/A,"Uppsala, Sweden","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_57586.png",,
Aldrich Potgieter,"5'11""",165,George,South Africa,None,None,None,"Mossel Bay, South Africa",South Africa,9/13/2004,Korn Ferry Tour 2024,South Africa-None-South Africa,"George, South Africa",N/A,"Mossel Bay, South Africa","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_63343.png",,
Ryo Hisatsune,"5'8""",150,Ibaraki,Japan,None,None,None,"Ponte Vedra Beach, FL",Florida,9/18/2002,Top 125 FedExCup 2024,Japan-None-Florida,"Ibaraki, Japan",N/A,"Ponte Vedra Beach, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_51287.png",,
Adam Schenk,N/A,N/A,Vincennes,Indiana,Purdue University,West Lafayette,Indiana,"Vincennes, IN",Indiana,1/26/1992,Top 50 OWGR 2025,Indiana-Indiana-Indiana,"Vincennes, Indiana","West Lafayette, Indiana","Vincennes, Indiana","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_47347.png",,
Mark Hubbard,"6'0""",175,Denver,Colorado,San Jose State University,San Jose,California,"The Woodlands, TX",Texas,5/24/1989,Top 125 FedExCup 2024,Colorado-California-Texas,"Denver, Colorado","San Jose, California","The Woodlands, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_36801.png",,
Patrick Fishburn,"6'0""",185,Ogden,Utah,Brigham Young University,Provo,Utah,"Ogden, UT",Utah,7/20/1992,Top 125 FedExCup 2024,Utah-Utah-Utah,"Ogden, Utah","Provo, Utah","Ogden, Utah","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_54576.png",,
Paul Waring,N/A,N/A,Birkenhead,England,None,None,None,"Birkenhead, England",England,2/2/1985,Top 50 OWGR 2025,England-None-England,"Birkenhead, England",N/A,"Birkenhead, England","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_31113.png",,
Tom McKibbin,N/A,N/A,Holywood,Northern Ireland,None,None,None,"Holywood, Northern Ireland",Northern Ireland,12/19/2002,Top 50 OWGR 2025,Northern Ireland-None-Northern Ireland,"Holywood, Northern Ireland",N/A,"Holywood, Northern Ireland","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_50823.png",,
Jorge Campillo,N/A,N/A,Badajoz,Spain,None,None,None,"Cáceres, Spain",Spain,6/1/1986,Top 50 OWGR 2025,Spain-None-Spain,"Badajoz, Spain",N/A,"Cáceres, Spain","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32367.png",,
C.T. Pan,"5'7""",150,Taipei,Taiwan,University of Washington,Seattle,Washington,"Jupiter, FL",Florida,11/12/1991,Top 50 OWGR 2025,Taiwan-Washington-Florida,"Taipei, Taiwan","Seattle, Washington","Jupiter, Florida","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_29908.png",,
Matti Schmid,N/A,N/A,Regensburg,Germany,University of Louisville,Louisville,Kentucky,"Regensburg, Germany",Germany,11/18/1997,Top 50 OWGR 2025,Germany-Kentucky-Germany,"Regensburg, Germany","Louisville, Kentucky","Regensburg, Germany","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_48867.png",,
Seamus Power,"6'3""",200,Waterford,Ireland,East Tennessee State University,Johnson City,Tennessee,"Las Vegas, NV",Nevada,3/4/1987,Top 125 FedExCup 2024,Ireland-Tennessee-Nevada,"Waterford, Ireland","Johnson City, Tennessee","Las Vegas, Nevada","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_28252.png",,
Patrick Reed,"6'0""",200,San Antonio,Texas,Augusta University,Augusta,Georgia,"The Woodlands, TX",Texas,8/5/1990,Top 50 OWGR 2025,Texas-Georgia-Texas,"San Antonio, Texas","Augusta, Georgia","The Woodlands, Texas","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_34360.png",,
Patton Kizzire,"6'5""",215,Tuscaloosa,Alabama,Auburn University,Auburn,Alabama,"Sea Island, GA",Georgia,3/3/1986,Top 125 FedExCup 2024,Alabama-Alabama-Georgia,"Tuscaloosa, Alabama","Auburn, Alabama","Sea Island, Georgia","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_32757.png",,
Julien Guerrier,N/A,N/A,Toulouse,France,None,None,None,"La Baule, France",France,7/1/1985,Top 50 OWGR 2025,France-None-France,"Toulouse, France",N/A,"La Baule, France","https://pga-tour-res.cloudinary.com/image/upload/c_fill,d_headshots_default.png,dpr_2.0,f_auto,g_face:center,h_350,q_auto,w_280/headshots_28340.png",,
